Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales,Net Revenue per Item
Art & Sculpture,34,14935.0,-594.0,-1609.0,12732.0,374.47058823529414
Basket,13,3744.0,-316.8,0.0,3427.2,263.6307692307692
Basket,12,3825.0,-201.6,-288.0,3335.4,277.95
Basket,17,3035.0,-63.25,0.0,2971.75,174.80882352941177
Art & Sculpture,47,2696.8,-44.16,0.0,2652.64,56.43914893617021
Basket,17,2695.0,-52.5,-110.0,2532.5,148.97058823529412
Basket,20,2310.0,-66.0,-110.0,2134.0,106.7
Christmas,90,2160.0,-45.59,0.0,2114.41,23.493444444444442
Art & Sculpture,10,2250.0,-180.0,0.0,2070.0,207.0
Basket,11,1925.0,-17.5,0.0,1907.5,173.4090909090909
Basket,30,1907.0,-41.3,0.0,1865.7,62.190000000000005
Home Decor,19,1748.0,-46.85,0.0,1701.15,89.53421052631579
Basket,15,1725.0,-92.0,0.0,1633.0,108.86666666666666
Art & Sculpture,2,1625.0,-5.0,0.0,1620.0,810.0
Recycled Art,37,1554.0,-29.4,0.0,1524.6,41.2054054054054
Jewelry,33,1584.0,-67.17,0.0,1516.83,45.96454545454545
Basket,20,1560.0,-47.8,0.0,1512.2,75.61
Jewelry,32,1536.0,-76.8,0.0,1459.2,45.6
Home Decor,17,1496.0,-44.0,0.0,1452.0,85.41176470588235
Basket,5,1467.0,-57.6,0.0,1409.4,281.88
Art & Sculpture,9,1466.0,-75.89,0.0,1390.11,154.45666666666665
Art & Sculpture,11,1375.0,-12.5,0.0,1362.5,123.86363636363636
Art & Sculpture,58,1392.0,-36.0,0.0,1356.0,23.379310344827587
Christmas,58,1392.0,-45.6,0.0,1346.4,23.21379310344828
Jewelry,96,1400.0,-42.0,-56.0,1302.0,13.5625
Art & Sculpture,3,1660.0,0.0,-365.0,1295.0,431.6666666666667
Basket,15,1260.0,0.0,0.0,1260.0,84.0
Basket,9,1315.0,-57.5,0.0,1257.5,139.72222222222223
Art & Sculpture,30,1260.0,-46.2,0.0,1213.8,40.46
Skin Care,32,1216.0,-26.6,0.0,1189.4,37.16875
Home Decor,18,1224.0,-40.8,0.0,1183.2,65.73333333333333
Basket,7,1225.0,-70.0,0.0,1155.0,165.0
Art & Sculpture,7,1155.0,-47.51,0.0,1107.49,158.21285714285713
Home Decor,5,1125.0,-22.5,0.0,1102.5,220.5
Basket,4,1152.0,-57.6,0.0,1094.4,273.6
Basket,14,1158.0,-67.16,0.0,1090.84,77.91714285714285
Basket,10,1100.0,-11.0,0.0,1089.0,108.9
